number,value,params_alpha_clip,params_gen,params_neb,params_neb_epochs,user_attrs_f1_real,user_attrs_f1_syn,state
0,,0.5387926357773329,20,5,37,,,PRUNED
1,,0.7795585311974417,5,3,4,,,PRUNED
2,,0.8729188669457949,16,7,3,,,PRUNED
3,,0.16506405886809045,11,9,10,,,PRUNED
4,,0.26210622617823776,12,4,23,,,PRUNED
5,,0.32972565896432254,8,7,16,,,PRUNED
6,,0.46281099457225044,17,6,11,,,PRUNED
7,0.07918095508119516,0.15347171131856238,7,7,31,0.7772329031331432,0.698051948051948,COMPLETE
8,,0.727557613304815,20,2,49,,,PRUNED
9,,0.3961372443656412,5,4,35,,,PRUNED
10,,0.01616568805333768,14,10,30,,,PRUNED
11,,0.5741745796899548,9,6,41,,,PRUNED
12,,0.58627829737791,20,8,40,,,PRUNED
13,,0.019393369676948158,8,5,25,,,PRUNED
14,,0.19293447203892966,17,5,32,,,PRUNED
15,,0.537403214432593,14,8,50,,,PRUNED
16,,0.6503724984772615,11,5,40,,,PRUNED
17,,0.13174910884996682,18,7,21,,,PRUNED
18,,0.4513479653122717,6,2,35,,,PRUNED
19,,0.32466781908971243,14,6,44,,,PRUNED
20,,0.11029688437605195,19,10,29,,,PRUNED
21,0.05053759209260511,0.8723428668438462,3,3,3,0.7772329031331432,0.7266953110405381,COMPLETE
22,0.051766010094093984,0.8814830325954701,3,3,18,0.7772329031331432,0.7254668930390492,COMPLETE
23,0.015828186314413628,0.8133465659260299,3,3,18,0.7772329031331432,0.7614047168187296,COMPLETE
24,0.05790158086064445,0.8868992782821485,3,3,18,0.7772329031331432,0.7193313222724987,COMPLETE
25,0.0635149544151945,0.7961787092617172,3,3,12,0.7772329031331432,0.7137179487179487,COMPLETE
26,,0.8212642370476552,5,4,8,,,PRUNED
27,,0.7122204532560013,2,2,15,,,PRUNED
28,,0.7007495794871329,4,3,20,,,PRUNED
29,,0.8506568246844942,6,4,7,,,PRUNED
30,,0.744004617463091,2,2,14,,,PRUNED
31,,0.8924225753847014,4,3,19,,,PRUNED
32,,0.8977028018193104,4,3,17,,,PRUNED
33,,0.7889515552995098,6,4,2,,,PRUNED
34,,0.6570134671245083,4,3,5,,,PRUNED
35,,0.8434132656707842,2,2,25,,,PRUNED
36,,0.7748632260957465,9,3,22,,,PRUNED
37,,0.855883793313321,7,4,18,,,PRUNED
38,,0.6592908537024162,5,3,13,,,PRUNED
39,,0.8981661396313426,7,4,9,,,PRUNED
40,,0.815433043245952,3,2,6,,,PRUNED
41,,0.7860983752936355,4,3,12,,,PRUNED
42,0.06719888952770103,0.7637829543293642,3,3,16,0.7772329031331432,0.7100340136054422,COMPLETE
43,,0.817301273888692,3,2,11,,,PRUNED
44,,0.8540034763116402,6,4,23,,,PRUNED
45,,0.7069041137405524,5,3,27,,,PRUNED
46,,0.7953252787785761,6,5,10,,,PRUNED
47,,0.7475634173094617,5,4,3,,,PRUNED
48,,0.5213171674201759,7,5,14,,,PRUNED
49,,0.6149728354468675,3,2,18,,,PRUNED
